愛育,あいいく,aiiku
裏方,うらかた,urakata
裏書き,うらがき,uragaki
裏金,うらがね,uragane
裏口,うらぐち,uraguchi
裏作,うらさく,urasaku
裏手,うらて,urate
占師,うらないし,uranaishi
裏庭,うらにわ,uraniwa
裏話,うらばなし,urabanashi
裏盆,うらぼん,urabon
裏町,うらまち,uramachi
怨み,うらみ,urami
裏道,うらみち,uramichi
裏目,うらめ,urame
裏門,うらもん,uramon
裏山,うらやま,urayama
瓜,うり,uri
売上,うりあげ,uriage
売り買い,うりかい,urikai
売り子,うりこ,uriko
売出,うりだし,uridashi
売り手,うりて,urite
売り値,うりね,urine
売り場,うりば,uriba
売り物,うりもの,urimono
煩型,うるさがた,urusagata
漆,うるし,urushi
粳,うるち,uruchi
売れ行き,うれゆき,ureyuki
鱗,うろこ,uroko
鱗雲,うろこぐも,urokogumo
上顎,うわあご,uwaago
上書き,うわがき,uwagaki
上着,うわぎ,uwagi
上薬,うわぐすり,uwagusuri
囈言,うわごと,uwagoto
噂,うわさ,uwasa
上滑り,うわすべり,uwasuberi
上塗り,うわぬり,uwanuri
上値,うわね,uwane
上乗せ,うわのせ,uwanose
上の空,うわのそら,uwanosora
上履き,うわばき,uwabaki
うわべ,うわべ,uwabe
上役,うわやく,uwayaku
運,うん,un
運営,うんえい,unei
雲海,うんかい,unkai
運河,うんが,unga
うんこ,うんこ,unko
運針,うんしん,unshin
雲水,うんすい,unsui
運勢,うんせい,unsei
うんち,うんち,unchi
運賃,うんちん,unchin
運転,うんてん,unten
雲泥,うんでい,undei
云々,うんぬん,unnun
運輸,うんゆ,unyu
英会話,えいかいわ,eikaiwa
鋭角,えいかく,eikaku
栄冠,えいかん,eikan
映画,えいが,eiga
英気,えいき,eiki
英語,えいご,eigo
英才,えいさい,eisai
栄進,えいしん,eishin
永世,えいせい,eisei
営繕,えいぜん,eizen
永続,えいぞく,eizoku
栄達,えいたつ,eitatsu
詠嘆,えいたん,eitan
英断,えいだん,eidan
英知,えいち,eichi
栄転,えいてん,eiten
英文,えいぶん,eibun
衛兵,えいへい,eihei
永眠,えいみん,eimin
英名,えいめい,eimei
英訳,えいやく,eiyaku
栄誉,えいよ,eiyo
営利,えいり,eiri
営林,えいりん,eirin
英霊,えいれい,eirei
英和,えいわ,eiwa
絵描き,えかき,ekaki
笑顔,えがお,egao
絵柄,えがら,egara
液,えき,eki
駅員,えきいん,ekiin
液化,えきか,ekika
疫学,えきがく,ekigaku
液体,えきたい,ekitai
駅伝,えきでん,ekiden
駅弁,えきべん,ekiben
駅前,えきまえ,ekimae
役務,えきむ,ekimu
駅名,えきめい,ekimei
疫痢,えきり,ekiri
靨,えくぼ,ekubo
餌,えさ,esa
絵師,えし,eshi
絵空事,えそらごと,esoragoto
枝,えだ,eda
枝打ち,えだうち,edauchi
枝葉,えだは,edaha
枝豆,えだまめ,edamame
悦,えつ,etsu
越年,えつねん,etsunen
閲覧,えつらん,etsuran
干支,えと,eto
会得,えとく,etoku
江戸前,えどまえ,edomae
絵の具,えのぐ,enogu
海老,えび,ebi
えびせん,えびせん,ebisen
絵筆,えふで,efude
絵本,えほん,ehon
烏帽子,えぼし,eboshi
絵馬,えま,ema
絵巻,えまき,emaki
絵巻物,えまきもの,emakimono
笑み,えみ,emi
獲物,えもの,emono
衣紋掛,えもんかけ,emonkake
えら,えら,era
襟,えり,eri
襟首,えりくび,erikubi
襟ぐり,えりぐり,eriguri
選り取り,えりどり,eridori
襟巻き,えりまき,erimaki
円,えん,en
遠因,えんいん,enin
円売り,えんうり,enuri
遠泳,えんえい,enei
演繹,えんえき,eneki
塩化,えんか,enka
宴会,えんかい,enkai
沿革,えんかく,enkaku
塩害,えんがい,engai
縁側,えんがわ,engawa
沿岸,えんがん,engan
延期,えんき,enki
遠近,えんきん,enkin
演技,えんぎ,engi
縁起物,えんぎもの,engimono
縁組み,えんぐみ,engumi
援軍,えんぐん,engun
円形,えんけい,enkei
園芸,えんげい,engei
演劇,えんげき,engeki
縁故,えんこ,enko
援護,えんご,engo
縁先,えんさき,ensaki
塩酸,えんさん,ensan
冤罪,えんざい,enzai
演算,えんざん,enzan
遠視,えんし,enshi
延伸,えんしん,enshin
円錐,えんすい,ensui
遠征,えんせい,ensei
宴席,えんせき,enseki
沿線,えんせん,ensen
演説,えんぜつ,enzetsu
塩素,えんそ,enso
遠足,えんそく,ensoku
延滞,えんたい,entai
円卓,えんたく,entaku
演題,えんだい,endai
円高,えんだか,endaka
円建て,えんだて,endate
演壇,えんだん,endan
炎天,えんてん,enten
塩田,えんでん,enden
煙突,えんとつ,entotsu
縁日,えんにち,ennichi
炎熱,えんねつ,ennetsu
縁の下,えんのした,ennoshita
円安,えんやす,enyasu
遠路,えんろ,enro
追い打ち,おいうち,oiuchi
御家芸,おいえげい,oiegei
追い風,おいかぜ,oikaze
